sku;ITEM;PX VENTA;costo;stock minimo;CATEGORIA
1-00544;MADERIN IMPREGNANTE LASUR TRADICIONAL CEDRO X 4;3188,35;1550;;Duracril
1-00545;MADERIN IMPREGNANTE LASUR TRADICIONAL CRISTAL X 1;966,79;470;;Duracril
1-00546;MADERIN IMPREGNANTE LASUR TRADICIONAL CRISTAL X 10;7944,134;3862;;Duracril
1-00547;MADERIN IMPREGNANTE LASUR TRADICIONAL CRISTAL X 4;3188,35;1550;;Duracril
1-00548;MADERIN IMPREGNANTE LASUR TRADICIONAL NATURAL X 1;966,79;470;;Duracril
1-00549;MADERIN IMPREGNANTE LASUR TRADICIONAL NATURAL X 10;7944,134;3862;;Duracril
1-00550;MADERIN IMPREGNANTE LASUR TRADICIONAL NATURAL X 4;3188,35;1550;;Duracril
1-00551;MADERIN IMPREGNANTE LASUR TRADICIONAL NOGAL X 1;966,79;470;;Duracril
1-00552;MADERIN IMPREGNANTE LASUR TRADICIONAL NOGAL X 10;7944,134;3862;;Duracril
1-00553;MADERIN IMPREGNANTE LASUR TRADICIONAL NOGAL X 4;3188,35;1550;;Duracril
1-00554;MADERIN IMPREGNANTE LASUR TRADICIONAL PETIRIBI X 1;966,79;470;;Duracril
1-00555;MADERIN IMPREGNANTE LASUR TRADICIONAL PETIRIBI X 10;7944,134;3862;;Duracril
1-00556;MADERIN IMPREGNANTE LASUR TRADICIONAL PETIRIBI X 4;3188,35;1550;;Duracril
1-00557;MADERIN IMPREGNANTE LASUR TRADICIONAL ROBLE CLARO X 1;966,79;470;;Duracril
1-00558;MADERIN IMPREGNANTE LASUR TRADICIONAL ROBLE CLARO X 10;7944,134;3862;;Duracril
1-00559;MADERIN IMPREGNANTE LASUR TRADICIONAL ROBLE CLARO X 4;3188,35;1550;;Duracril
1-00560;MADERIN IMPREGNANTE LASUR TRADICIONAL ROBLE OSCURO X 1;966,79;470;;Duracril
1-00561;MADERIN IMPREGNANTE LASUR TRADICIONAL ROBLE OSCURO X 10;7944,134;3862;;Duracril
1-00562;MADERIN IMPREGNANTE LASUR TRADICIONAL ROBLE OSCURO X 4;3188,35;1550;;Duracril
1-00563;MADERIN IMPREGNANTE LASUR TRADICIONAL VIRARO X 1;966,79;470;;Duracril
1-00564;MADERIN IMPREGNANTE LASUR TRADICIONAL VIRARO X 10;7944,134;3862;;Duracril
1-00565;MADERIN IMPREGNANTE LASUR TRADICIONAL VIRARO X 4;3188,35;1550;;Duracril
1-00566;MADERIN IMPREGNANTE LASUR TRADICIONAL WENGUE X 1;966,79;470;;Duracril
1-00567;MADERIN IMPREGNANTE LASUR TRADICIONAL WENGUE X 10;7944,134;3862;;Duracril
